NUM_POST,latitude,longitude,type,commune,altitude,nom_usuel,num_dep
11028001,42.82,1.968,RR,BELCAIRE,980,BELCAIRE,11
11069001,43.215,2.296,RR,CARCASSONNE,128,CARCASSONNE,11
11069001,43.215,2.296,TN,CARCASSONNE,128,CARCASSONNE,11
11069001,43.215,2.296,TX,CARCASSONNE,128,CARCASSONNE,11
11076001,43.305,1.949,RR,CASTELNAUDARY,160,CASTELNAUDARY,11
11076001,43.305,1.949,TN,CASTELNAUDARY,160,CASTELNAUDARY,11
11076001,43.305,1.949,TX,CASTELNAUDARY,160,CASTELNAUDARY,11
11144001,42.895,2.996,RR,FITOU,9,FITOU,11
11262005,43.15,2.956,RR,NARBONNE,110,NARBONNE,11
12011001,44.168,2.619,RR,ARVIEU,733,ARVIEU,12
12094002,44.636,2.56,RR,ENTRAYGUES-SUR-TRUYERE,264,ENTRAYGUES SUR,12
12096001,44.51,2.769,RR,ESPALION,359,ESPALION,12
12150001,44.266,1.992,RR,MONTEILS,268,MONTEILS,12
12179001,43.762,2.867,RR,PEUX-ET-COUFFOULEUX,830,PEUX-ET-COUFFOULEUX_SAPC,12
12224001,44.464,2.968,RR,SAINT GENIEZ D'OLT ET D'AUBRAC,420,ST-GENIEZ-D'OLT,12
12253001,44.152,2.866,RR,SALLES-CURAN,959,SALLES CURAN,12
12253001,44.152,2.866,TN,SALLES-CURAN,959,SALLES CURAN,12
12253001,44.152,2.866,TX,SALLES-CURAN,959,SALLES CURAN,12
12254001,44.41,2.483,RR,SALLES-LA-SOURCE,578,RODEZ-AVEYRON,12
12298001,44.531,2.572,RR,VILLECOMTAL,318,VILLECOMTAL,12
12300004,44.372,2.024,RR,VILLEFRANCHE-DE-ROUERGUE,330,VILLEFRANCHE-DE-ROUERGUE,12
13001009,43.53,5.425,RR,AIX-EN-PROVENCE,173,AIX EN PROVENCE,13
13001009,43.53,5.425,TN,AIX-EN-PROVENCE,173,AIX EN PROVENCE,13
13001009,43.53,5.425,TX,AIX-EN-PROVENCE,173,AIX EN PROVENCE,13
13005003,43.307,5.601,RR,AUBAGNE,130,AUBAGNE,13
13030001,43.274,5.7,RR,CUGES-LES-PINS,184,CUGES-LES-PINS,13
13036003,43.847,4.835,RR,EYRAGUES,17,EYRAGUES,13
13047001,43.523,4.928,RR,ISTRES,23,ISTRES,13
13047001,43.523,4.928,TN,ISTRES,23,ISTRES,13
13047001,43.523,4.928,TX,ISTRES,23,ISTRES,13
13055001,43.304,5.39,RR,MARSEILLE 1ER ARRONDISSEMENT,75,MARSEILLE-OBS,13
13092001,43.55,5.04,RR,SAINT-CHAMAS,10,ST CHAMAS,13
13103001,43.613,5.108,RR,SALON-DE-PROVENCE,58,SALON DE PROVENCE,13
13103001,43.613,5.108,TN,SALON-DE-PROVENCE,58,SALON DE PROVENCE,13
13103001,43.613,5.108,TX,SALON-DE-PROVENCE,58,SALON DE PROVENCE,13
13108004,43.83,4.64,RR,TARASCON,15,TARASCON,13
13110003,43.445,5.699,RR,TRETS,264,TRETS,13
14047002,49.275,-0.712,RR,BAYEUX,60,BAYEUX,14
14066001,49.334,-0.431,RR,BERNIERES-SUR-MER,2,BERNIERES,14
14096001,48.991,-0.781,RR,BREMOY,240,BREMOY,14
14137001,49.18,-0.456,RR,CARPIQUET,67,CAEN-CARPIQUET,14
14137001,49.18,-0.456,TN,CARPIQUET,67,CAEN-CARPIQUET,14
14137001,49.18,-0.456,TX,CARPIQUET,67,CAEN-CARPIQUET,14
14239001,49.388,-0.957,RR,ENGLESQUEVILLE-LA-PERCEE,38,ENGLESQUEVILLE,14
