num_poste,latitude(°),longitude(°),type
52443001,48.434,5.273,RR
52447001,47.882,5.262,RR
52448001,48.631,4.904,RR
52469001,48.092,5.046,RR
52529001,47.739,5.314,RR
53078001,47.788,-0.645,RR
53096004,48.296,-0.963,RR
53097001,48.168,-0.388,RR
53130008,48.031,-0.747,RR
53147001,48.311,-0.64,RR
53185001,48.452,-0.183,RR
54040001,48.498,6.896,RR
54182001,48.919,5.809,RR
54322001,49.432,5.613,RR
54405001,48.581,5.96,RR
54407001,48.475,6.068,RR
54415001,48.984,6.031,RR
54526001,48.688,6.222,RR
55014001,49.134,5.094,RR
55067001,48.649,5.415,RR
55073001,49.208,5.379,RR
55179001,48.75,5.404,RR
55248001,48.563,5.506,RR
55328001,48.538,5.669,RR
55443001,49.225,5.688,RR
55531001,48.809,5.033,RR
56009001,47.294,-3.218,RR
56069001,47.652,-3.502,RR
56185001,47.763,-3.436,RR
56243001,47.605,-2.714,RR
57019001,49.219,6.057,RR
57039001,49.07,6.125,RR
57168001,48.767,7.306,RR
57465001,49.306,6.283,RR
57469002,48.859,6.935,RR
57550001,49.16,6.646,RR
57557001,49.482,6.259,RR
57730001,49.166,6.443,RR
57732001,49.124,7.382,RR
57740001,49.417,6.506,RR
58062001,47.07,3.934,RR
58104001,46.72,3.356,RR
58148001,46.847,3.289,RR
58149001,46.807,3.963,RR
58160001,46.998,3.113,RR
58199001,46.981,3.911,RR
58264001,46.799,3.114,RR
59178001,50.39,3.067,RR
59183001,51.056,2.34,RR
59343001,50.57,3.098,RR
59604001,50.098,3.464,RR
59647001,50.834,2.213,RR
60107001,49.361,2.439,RR
60260001,49.285,2.918,RR
60276001,49.586,2.554,RR
60363001,49.193,1.895,RR
60518001,49.582,2.191,RR
60623001,49.545,1.852,RR
60639001,49.447,2.127,RR
60652001,49.303,2.048,RR
61001001,48.446,0.11,RR
61328001,48.725,0.181,RR
61345003,48.434,0.778,RR
61369001,48.645,-0.624,RR
61377001,48.724,-0.73,RR
61426001,48.374,0.55,RR
61464001,48.592,0.173,RR
61479001,48.675,-0.08,RR
61483002,48.541,-0.415,RR
62044001,50.485,1.766,RR
62160001,50.733,1.6,RR
62333001,50.505,2.326,RR
62516002,50.58,2.497,RR
62685001,50.549,2.114,RR
62826001,50.515,1.623,RR
63089001,45.858,3.209,RR
63113001,45.787,3.149,RR
63129001,45.472,2.595,RR
63132002,45.635,3.558,RR
63163001,45.753,2.81,RR
63222001,45.544,3.164,RR
63223001,46.105,2.91,RR
63281001,46.105,2.688,RR
63295001,46.012,3.354,RR
63382001,46.041,3.009,RR
63426001,45.545,2.598,RR
64006001,42.945,-0.611,RR
64024001,43.469,-1.534,RR
64092002,43.129,-1.373,RR
64109001,43.193,-0.22,RR
64123001,43.481,-1.142,RR
64157001,43.121,-0.488,RR
64189001,43.395,-1.687,RR
64301002,43.391,-0.643,RR
64316001,43.02,-0.96,RR
64320003,42.984,-0.429,RR
64331002,43.452,-0.109,RR
64342001,43.048,-0.886,RR
64416001,43.324,-0.754,RR
64450001,43.491,-0.544,RR
64480001,43.38,-0.934,RR
64537001,43.134,-0.876,RR
64549001,43.385,-0.416,RR
65031005,42.9,0.365,RR
65032003,42.947,-0.219,RR
65055001,42.998,-0.069,RR
65123007,42.928,0.203,RR
65129003,43.278,0.518,RR
65258001,43.114,0.413,RR
65295003,42.858,-0.002,RR
65304001,43.471,0.043,RR
65344001,43.188,0.0,RR
65388001,42.814,0.318,RR
66037001,42.687,2.984,RR
66049001,42.496,2.748,RR
66136001,42.737,2.873,RR
66137003,42.473,2.86,RR
66148001,42.517,3.135,RR
66183001,42.539,2.622,RR
66230001,42.656,2.548,RR
67067001,48.725,7.71,RR
67115001,48.309,7.495,RR
67124001,48.55,7.64,RR
67180001,48.836,7.801,RR
67482001,48.582,7.769,RR
67507003,48.343,7.306,RR
68062001,47.632,7.213,RR
68066001,48.063,7.33,RR
68112005,47.904,7.226,RR
68165001,47.438,7.356,RR
68171002,47.944,6.955,RR
68205001,47.929,7.408,RR
68224006,47.75,7.289,RR
68231001,48.026,7.575,RR
68247001,47.91,6.97,RR
68287001,47.954,7.292,RR
68297001,47.614,7.51,RR
68307001,47.816,6.874,RR
69029001,45.721,4.949,RR
69135001,46.219,4.523,RR
69196001,46.164,4.566,RR
69203001,45.7,4.485,RR
69204002,45.695,4.782,RR
69238001,45.639,4.471,RR
69239002,45.916,4.521,RR
69264001,45.987,4.738,RR
70006001,47.915,6.338,RR
70104001,47.423,5.843,RR
70165001,47.709,5.892,RR
70168001,47.817,6.209,RR
70414001,47.773,6.746,RR
70447002,47.438,6.062,RR
70473001,47.787,6.364,RR
70550001,47.649,6.164,RR
71010004,46.894,4.41,RR
71105001,46.295,4.794,RR
71106001,46.44,4.281,RR
71190001,46.998,4.496,RR
71230002,46.598,4.021,RR
71267001,46.477,4.823,RR
71340002,46.555,4.228,RR
71482001,46.852,4.336,RR
71523001,46.714,5.181,RR
71589001,46.692,3.722,RR
72042001,47.984,0.492,RR
72093001,48.18,0.71,RR
72137006,48.433,0.212,RR
72181001,47.946,0.194,RR
72189001,48.243,0.341,RR
72237001,47.907,-0.103,RR
72255001,48.139,-0.226,RR
72264001,47.84,-0.303,RR
72339001,47.965,0.017,RR
72351002,48.104,-0.05,RR
72357001,47.659,0.023,RR
72361001,47.885,0.56,RR
72377002,47.746,-0.109,RR
73034002,45.691,6.569,RR
73054001,45.613,6.763,RR
73055001,45.44,6.65,RR
73064001,45.565,5.97,RR
73132001,45.772,6.639,RR
73146001,45.715,6.108,RR
73167001,45.393,6.321,RR
73181001,45.485,6.534,RR
73206001,45.386,6.717,RR
73220001,45.477,6.271,RR
73229001,45.453,5.777,RR
73232001,45.602,6.887,RR
73258001,45.239,6.446,RR
73261001,45.224,6.491,RR
74024001,46.08,6.431,RR
74035001,45.822,5.945,RR
74051002,46.032,6.044,RR
74056001,45.93,6.878,RR
74080002,45.887,6.427,RR
74081002,46.081,6.56,RR
74083002,45.893,6.627,RR
74085001,45.822,6.729,RR
74087001,46.129,6.34,RR
74093001,45.911,6.108,RR
74134002,46.159,6.67,RR
74137001,46.013,6.175,RR
74173001,45.855,6.608,RR
74203001,46.369,6.79,RR
74211002,46.098,6.261,RR
74221001,46.011,6.536,RR
74256001,45.932,6.651,RR
74258002,46.087,6.727,RR
74280001,45.878,6.323,RR
74281001,46.367,6.455,RR
74285002,46.013,5.845,RR
74286001,46.316,6.67,RR
74289001,45.902,5.922,RR
75106001,48.845,2.334,RR
75110001,48.883,2.352,RR
75114001,48.822,2.338,RR
76217001,49.933,1.09,RR
76228001,49.647,0.817,RR
76255002,50.058,1.421,RR
76259001,49.767,0.369,RR
76276001,49.603,1.523,RR
77054001,48.352,3.023,RR
77084001,48.965,3.012,RR
77113002,48.727,3.203,RR
77148002,49.093,3.07,RR
77159001,48.475,3.127,RR
77186002,48.406,2.679,RR
77239001,48.69,3.125,RR
77306001,48.61,2.68,RR
77333003,48.27,2.715,RR
77418001,48.536,3.21,RR
77489001,48.222,2.935,RR
77530001,48.613,3.35,RR
78005002,48.983,2.126,RR
78380001,48.909,1.848,RR
78481001,48.888,2.116,RR
78486002,48.694,1.867,RR
78620001,48.751,2.114,RR
78621001,48.774,2.01,RR
78640001,48.773,2.204,RR
79017001,46.941,-0.584,RR
79134001,46.856,-0.254,RR
79148001,46.259,-0.012,RR
79176001,46.494,-0.064,RR
79191005,46.316,-0.4,RR
79202003,46.637,-0.261,RR
79270003,46.417,-0.21,RR
79311002,46.597,-0.443,RR
79329001,46.989,-0.207,RR
80001001,50.136,1.834,RR
80041001,49.884,1.93,RR
80086002,50.139,2.181,RR
80248001,50.301,1.921,RR
80253002,50.148,2.349,RR
80271002,50.001,3.122,RR
80379002,49.872,2.383,RR
80523001,49.972,2.704,RR
80628001,49.754,2.555,RR
80630001,49.778,1.98,RR
80713001,50.286,1.582,RR
80801001,49.877,2.898,RR
81014001,43.557,2.562,RR
81069001,44.074,1.956,RR
81081002,43.491,2.14,RR
81124001,43.708,2.704,RR
81140002,43.694,1.866,RR
81182004,43.725,2.356,RR
82038006,44.22,1.704,RR
82121002,44.028,1.377,RR
82174001,44.171,1.46,RR
82180001,43.932,1.068,RR
83004004,43.451,6.471,RR
83031001,43.383,6.386,RR
83043005,43.232,6.258,RR
83044003,43.659,6.471,RR
83050007,43.526,6.453,RR
83061001,43.424,6.738,RR
83069001,43.094,6.146,RR
83069002,43.0,6.227,RR
83074002,43.771,6.599,RR
83075001,43.317,6.358,RR
83080001,43.694,6.71,RR
83101001,43.201,6.675,RR
83102005,43.668,6.105,RR
83116022,43.478,5.848,RR
83137001,43.116,5.901,RR
84003002,43.881,5.414,RR
84007002,43.917,4.877,RR
84009002,43.787,5.615,RR
84025001,43.884,5.165,RR
84054001,43.902,5.051,RR
84064001,44.321,4.658,RR
84069001,44.169,5.118,RR
84074004,43.752,5.193,RR
84087001,44.145,4.861,RR
84107002,44.041,5.493,RR
85005001,46.619,-0.775,RR
85051001,46.693,-1.048,RR
85092004,46.448,-0.78,RR
85109001,46.856,-1.018,RR
85113001,46.694,-2.33,RR
85163001,47.005,-2.257,RR
85169002,46.808,-1.598,RR
85190001,46.957,-1.483,RR
85216001,46.44,-1.121,RR
86015001,46.121,0.651,RR
86027001,46.594,0.314,RR
86032001,46.682,0.566,RR
86066001,46.814,0.577,RR
86078002,46.16,0.299,RR
86137003,47.035,0.098,RR
86139001,46.418,0.119,RR
86140001,46.4,0.735,RR
86152002,46.169,0.513,RR
86165005,46.412,0.841,RR
86273001,46.464,1.042,RR
87009003,45.802,1.863,RR
87011002,46.12,1.053,RR
87059001,46.221,1.081,RR
87089003,46.21,1.187,RR
87103002,46.005,1.181,RR
87106001,45.681,1.189,RR
87113001,45.878,1.343,RR
87146002,45.613,1.5,RR
87183001,45.989,1.33,RR
88075005,48.008,6.942,RR
88095003,48.309,5.834,RR
