COMMUNE,NUM_POSTE,ALTI,NOM_USUEL,LAT_DG,NUM_DEP,LON_DG,ficheClimComplete,ficheClimReduite
HAM-SUR-MEUSE,08207001,109,HAM-SUR-MEUSE,50.116,8,4.7795,0,0
JUNIVILLE,08239001,90,JUNIVILLE,49.397333,8,4.371667,0,1
LAMETZ,08244001,165,LAMETZ_SAPC,49.536667,8,4.689667,0,0
LAUNOIS-SUR-VENCE,08248002,218,LAUNOIS-SUR-VENCE_SAPC,49.671833,8,4.534667,0,1
LIART,08254002,240,LIART_SAPC,49.7655,8,4.340333,0,0
LINAY,08255001,177,LINAY,49.616833,8,5.216833,0,1
MONTCHEUTIN,08296002,142,MONTCHEUTIN_SAPC,49.287333,8,4.809667,0,1
RANCENNES,08353001,162,RANCENNES,50.118833,8,4.813167,0,0
ROCROI,08367002,382,ROCROI,49.918667,8,4.53,0,1
SAULCES-CHAMPENOISES,08401001,147,SAULCES-CHAMPENOISES,49.423833,8,4.4925,0,1
SIGNY-L'ABBAYE,08419001,180,SIGNY-L'ABBAYE,49.686,8,4.418833,0,1
SIGNY-LE-PETIT,08420002,309,SIGNY-LE-PETIT_SAPC,49.9135,8,4.288167,0,0
ASCOU,09023002,1100,ASCOU LAVAIL,42.723833,9,1.895167,0,1
ALBIES,09024004,1781,ASTON,42.724167,9,1.691,0,1
AUGIREIN,09027001,655,AUGIREIN,42.930167,9,0.92,0,1
LA BASTIDE-DE-SEROU,09042003,420,LA BASTIDE DE S,43.024333,9,1.3885,0,1
BELESTA,09047001,490,BELESTA,42.903833,9,1.936667,0,0
CERIZOLS,09094001,374,CERIZOLS,43.126,9,1.063,0,1
COS,09099001,519,COS,42.970167,9,1.5645,1,1
LERAN,09161003,391,LERAN,42.990333,9,1.919167,0,1
LE MAS-D'AZIL,09181003,293,LE MAS D AZIL,43.0735,9,1.357667,0,0
MONTAUT,09199002,295,MONTAUT,43.192167,9,1.6435,1,1
MONTFERRIER,09206001,760,MONTFERRIER,42.891833,9,1.781167,0,1
PAMIERS,09225005,283,PAMIERS VILLE,43.118833,9,1.607,0,0
ROQUEFORT-LES-CASCADES,09250001,530,LES CASCADES,42.963667,9,1.748,0,1
SAINT-YBARS,09277001,330,ST-YBARS,43.2515,9,1.4215,0,1
SEIX,09285400,2140,PORT D'AULA-NIVOSE,42.77,9,1.114333,0,0
LORP-SENTARAILLE,09289001,414,ST GIRONS,43.005333,9,1.106833,1,1
SOULAN,09301001,638,SOULAN,42.914667,9,1.234333,0,0
VERDUN,09328001,550,VERDUN,42.791667,9,1.69,0,0
VAL-DE-SOS,09334004,750,VICDESSOS,42.771667,9,1.488167,0,1
AILLEVILLE,10002001,195,AILLEVILLE_SAPC,48.254167,10,4.685667,0,1
